電腦編號,ip,學生證號,卡號,開始時間,離開時間,時數
14W,140.119.49.,102601070,0080F46E77,02-Jan-15 16:27:24,02-Jan-15 16:28:05,   0小時00分鐘
12W,140.119.49.155,99206052,006C23B8E4,02-Jan-15 16:28:50,02-Jan-15 16:52:45,   0小時24分鐘
07W,140.119.49.34,102601070,0080F46E77,02-Jan-15 16:31:36,02-Jan-15 16:44:26,   0小時12分鐘
05W,140.119.49.36,103263005,00E629230D,02-Jan-15 16:42:14,02-Jan-15 18:29:50,   1小時47分鐘
07W,140.119.49.34,I20025130600,002AFB3307,02-Jan-15 17:07:19,02-Jan-15 17:37:20,   0小時30分鐘
12V,140.119.72.57,101306081,00600E4A35,02-Jan-15 17:07:57,02-Jan-15 17:25:20,   0小時17分鐘
08V,140.119.72.56,100302046,000E429BDD,02-Jan-15 17:12:32,02-Jan-15 18:19:51,   1小時07分鐘
03W,140.119.49.38,100601155,002E5C9BDD,02-Jan-15 17:12:42,02-Jan-15 18:26:31,   1小時13分鐘
14W,140.119.49.,102926045,00201FEC77,02-Jan-15 17:24:41,02-Jan-15 17:40:37,   0小時16分鐘
14W,140.119.49.,102926045,00201FEC77,02-Jan-15 17:40:53,02-Jan-15 17:54:33,   0小時13分鐘
12V,140.119.72.57,102351037,00100BE277,02-Jan-15 17:51:44,02-Jan-15 17:56:19,   0小時04分鐘
02V,140.119.72.60,102352027,008041E277,02-Jan-15 17:58:35,02-Jan-15 19:06:07,   1小時07分鐘
06W,140.119.49.35,101652011,0040E95835,02-Jan-15 18:14:31,02-Jan-15 18:22:03,   0小時07分鐘
01W,140.119.49.108,100205001,00800E8478,02-Jan-15 18:31:55,02-Jan-15 18:37:38,   0小時06分鐘
09V,140.119.72.52,101352001,00FB4F19BE,02-Jan-15 18:33:12,02-Jan-15 18:34:47,   0小時01分鐘
06V,140.119.72.51,101352001,00FB4F19BE,02-Jan-15 18:35:39,02-Jan-15 19:45:12,   1小時09分鐘
13V,140.119.72.72,100303017,0066D4E533,02-Jan-15 18:40:01,02-Jan-15 19:19:17,   0小時39分鐘
12W,140.119.49.155,99206052,006C23B8E4,02-Jan-15 19:11:01,02-Jan-15 19:37:35,   0小時26分鐘
08V,140.119.72.56,100302046,000E429BDD,02-Jan-15 19:25:27,02-Jan-15 21:15:07,   1小時49分鐘
07V,140.119.72.53,100303097,002B31CBB3,02-Jan-15 19:34:19,02-Jan-15 20:09:36,   0小時35分鐘
12V,140.119.72.57,100304029,00304A6A3E,02-Jan-15 19:50:57,02-Jan-15 20:07:01,   0小時16分鐘
02V,140.119.72.60,100303017,0066D4E533,02-Jan-15 19:54:59,02-Jan-15 21:03:00,   1小時07分鐘
14V,140.119.72.49,E22416789400,003A0C2507,02-Jan-15 20:15:46,02-Jan-15 20:20:22,   0小時04分鐘
10V,140.119.72.54,103502014,000696B10B,02-Jan-15 20:41:38,02-Jan-15 21:23:41,   0小時42分鐘
12V,140.119.72.57,103702002,00F6F3220D,02-Jan-15 21:09:17,02-Jan-15 21:40:01,   0小時30分鐘
07V,140.119.72.53,101303101,0030C55435,02-Jan-15 21:16:45,02-Jan-15 21:55:37,   0小時39分鐘
01R,140.119.129.67,101208080,00E0B47831,03-Jan-15 08:23:12,03-Jan-15 08:26:41,   0小時03分鐘
05R,140.119.129.59,102302044,00A0862D7A,03-Jan-15 08:24:42,03-Jan-15 08:53:33,   0小時28分鐘
03R,140.119.129.57,100601112,0090F20579,03-Jan-15 08:25:24,03-Jan-15 08:28:59,   0小時03分鐘
11R,140.119.129.70,102203015,0090389E48,03-Jan-15 08:36:40,03-Jan-15 08:51:09,   0小時14分鐘
07W,140.119.49.34,103921056,00BBBB978A,03-Jan-15 08:42:02,03-Jan-15 08:50:13,   0小時08分鐘
03R,140.119.129.57,100601139,0070D29E48,03-Jan-15 08:48:17,03-Jan-15 09:42:13,   0小時54分鐘
01R,140.119.129.67,101303019,00360C8D0C,03-Jan-15 08:49:17,03-Jan-15 09:40:53,   0小時51分鐘
07W,140.119.49.34,103921023,00A0778378,03-Jan-15 08:53:02,03-Jan-15 09:12:19,   0小時19分鐘
14W,140.119.49.,103921075,00DB48978A,03-Jan-15 08:56:40,03-Jan-15 09:07:52,   0小時11分鐘
05W,140.119.49.36,102921012,00EB21958A,03-Jan-15 09:00:01,03-Jan-15 09:03:26,   0小時03分鐘
11R,140.119.129.70,99501037,007B8CC6B3,03-Jan-15 09:10:13,03-Jan-15 11:10:22,   2小時00分鐘
11W,140.119.49.30,102921044,0060464F79,03-Jan-15 09:18:41,03-Jan-15 09:34:20,   0小時15分鐘
21R,140.119.129.75,102255023,00C0069466,03-Jan-15 09:30:31,03-Jan-15 09:35:36,   0小時04分鐘
05R,140.119.129.59,102305103,00D0EC5835,03-Jan-15 09:32:05,03-Jan-15 09:41:34,   0小時09分鐘
02R,140.119.129.56,99303042,002B58C8B3,03-Jan-15 09:33:26,03-Jan-15 09:33:27,   0小時00分鐘
31R,140.119.129.85,99303042,002B58C8B3,03-Jan-15 09:33:51,03-Jan-15 11:19:15,   1小時45分鐘
06R,140.119.129.60,101303037,00304C693E,03-Jan-15 09:37:04,03-Jan-15 09:38:58,   0小時01分鐘
07R,140.119.129.61,101303037,00304C693E,03-Jan-15 09:39:38,03-Jan-15 09:44:36,   0小時04分鐘
10R,140.119.129.69,101205092,0050F0AD48,03-Jan-15 09:43:42,03-Jan-15 11:50:35,   2小時06分鐘
02R,140.119.129.56,101501002,00B657260D,03-Jan-15 09:44:42,03-Jan-15 10:13:57,   0小時29分鐘
05R,140.119.129.59,102302057,008EB999DD,03-Jan-15 09:46:59,03-Jan-15 09:54:37,   0小時07分鐘
11D,140.119.29.11,100104024,0080AA2E7A,03-Jan-15 09:51:19,03-Jan-15 14:00:32,   4小時09分鐘
13R,140.119.129.55,101402029,0060B52D7A,03-Jan-15 09:52:39,03-Jan-15 09:56:56,   0小時04分鐘
13W,140.119.49.126,100601099,006BF3C6B3,03-Jan-15 09:53:11,03-Jan-15 10:01:02,   0小時07分鐘
08W,140.119.49.31,100601099,006BF3C6B3,03-Jan-15 10:01:07,03-Jan-15 10:15:58,   0小時15分鐘
02V,140.119.72.60,101306081,00600E4A35,03-Jan-15 10:08:01,03-Jan-15 11:58:10,   1小時50分鐘
21R,140.119.129.75,101507028,00C08AB048,03-Jan-15 10:13:34,03-Jan-15 10:29:48,   0小時16分鐘
02R,140.119.129.56,102305088,00D0B76231,03-Jan-15 10:18:21,03-Jan-15 10:23:44,   0小時05分鐘
04W,140.119.49.39,99206036,007B70CBB3,03-Jan-15 10:22:52,03-Jan-15 10:22:58,   0小時00分鐘
05W,140.119.49.36,99206036,007B70CBB3,03-Jan-15 10:23:03,03-Jan-15 12:13:44,   1小時50分鐘
02R,140.119.129.56,102358003,00B0BB9266,03-Jan-15 10:27:06,03-Jan-15 10:28:28,   0小時01分鐘
03R,140.119.129.57,102358003,00B0BB9266,03-Jan-15 10:28:34,03-Jan-15 10:33:32,   0小時04分鐘
04V,140.119.72.61,100303017,0066D4E533,03-Jan-15 10:31:00,03-Jan-15 10:45:16,   0小時14分鐘
16R,140.119.129.65,103302010,00A66F4611,03-Jan-15 10:39:25,03-Jan-15 11:03:09,   0小時24分鐘
06V,140.119.72.51,100601052,000B69CBB3,03-Jan-15 10:40:05,03-Jan-15 11:07:45,   0小時27分鐘
02R,140.119.129.56,103504033,00A6F78C0C,03-Jan-15 10:40:18,03-Jan-15 10:40:19,   0小時00分鐘
02R,140.119.129.56,103504033,00A6F78C0C,03-Jan-15 10:43:23,03-Jan-15 10:43:33,   0小時00分鐘
02R,140.119.129.56,103504033,00A6F78C0C,03-Jan-15 10:43:39,03-Jan-15 11:01:08,   0小時17分鐘
03R,140.119.129.57,103508006,009656AE0C,03-Jan-15 10:47:48,03-Jan-15 10:58:45,   0小時10分鐘
08W,140.119.49.31,102208034,00E06D4F79,03-Jan-15 10:50:34,03-Jan-15 11:35:56,   0小時45分鐘
08R,140.119.129.62,103363104,00363DB20B,03-Jan-15 11:03:31,03-Jan-15 11:03:33,   0小時00分鐘
08R,140.119.129.62,103363104,00363DB20B,03-Jan-15 11:03:42,03-Jan-15 11:04:47,   0小時01分鐘
11W,140.119.49.30,102921028,0080E19064,03-Jan-15 11:07:34,03-Jan-15 12:17:37,   1小時10分鐘
06V,140.119.72.51,100601052,000B69CBB3,03-Jan-15 11:09:09,03-Jan-15 11:14:45,   0小時05分鐘
04V,140.119.72.61,102307026,0070AF5735,03-Jan-15 11:09:26,03-Jan-15 11:17:46,   0小時08分鐘
14V,140.119.72.49,102307026,0070AF5735,03-Jan-15 11:32:11,03-Jan-15 12:09:03,   0小時36分鐘
S1R,140.119.129.113,F12191655400,00AA4B2007,03-Jan-15 11:39:05,03-Jan-15 12:38:08,   0小時58分鐘
11R,140.119.129.70,101151010,00DBA7C6B3,03-Jan-15 11:50:26,03-Jan-15 11:54:20,   0小時04分鐘
10R,140.119.129.69,101205092,0050F0AD48,03-Jan-15 11:50:54,03-Jan-15 12:52:37,   1小時01分鐘
61D,140.119.29.61,102652027,005042B048,03-Jan-15 12:01:49,03-Jan-15 12:10:00,   0小時08分鐘
61D,140.119.29.61,102652027,005042B048,03-Jan-15 12:10:08,03-Jan-15 12:10:16,   0小時00分鐘
61D,140.119.29.61,102652027,005042B048,03-Jan-15 12:10:24,03-Jan-15 12:11:55,   0小時01分鐘
55D,140.119.29.55,102506012,0060E59064,03-Jan-15 12:10:31,03-Jan-15 17:50:20,   5小時39分鐘
62D,140.119.29.62,102652027,005042B048,03-Jan-15 12:12:02,03-Jan-15 12:13:06,   0小時01分鐘
61D,140.119.29.61,102652027,005042B048,03-Jan-15 12:13:09,03-Jan-15 12:22:36,   0小時09分鐘
07W,140.119.49.34,100601151,00B05C8778,03-Jan-15 12:14:47,03-Jan-15 12:44:52,   0小時30分鐘
05W,140.119.49.36,99206036,007B70CBB3,03-Jan-15 12:15:57,03-Jan-15 12:36:12,   0小時20分鐘
01R,140.119.129.67,103464009,0046478D0C,03-Jan-15 12:16:13,03-Jan-15 12:28:37,   0小時12分鐘
08V,140.119.72.56,100302022,007B7BC7B3,03-Jan-15 12:16:28,03-Jan-15 12:18:16,   0小時01分鐘
33D,140.119.29.33,101305106,00B06D9F48,03-Jan-15 12:17:26,03-Jan-15 12:19:09,   0小時01分鐘
14V,140.119.72.49,100302022,007B7BC7B3,03-Jan-15 12:18:22,03-Jan-15 12:48:35,   0小時30分鐘
63D,140.119.29.63,101305106,00B06D9F48,03-Jan-15 12:19:12,03-Jan-15 12:19:19,   0小時00分鐘
14D,140.119.29.14,101305106,00B06D9F48,03-Jan-15 12:19:29,03-Jan-15 12:19:38,   0小時00分鐘
15D,140.119.29.15,101305106,00B06D9F48,03-Jan-15 12:19:42,03-Jan-15 14:48:01,   2小時28分鐘
01V,140.119.72.59,101307007,00A665E10E,03-Jan-15 12:20:05,03-Jan-15 17:07:33,   4小時47分鐘
11W,140.119.49.30,102921028,0080E19064,03-Jan-15 12:23:07,03-Jan-15 13:00:26,   0小時37分鐘
02R,140.119.129.56,F22789824400,00CAB83407,03-Jan-15 12:30:07,03-Jan-15 13:18:26,   0小時48分鐘
13R,140.119.129.55,100601077,00AB5BC7B3,03-Jan-15 12:31:45,03-Jan-15 12:58:15,   0小時26分鐘
04W,140.119.49.39,99506025,00A6A8250D,03-Jan-15 12:35:15,03-Jan-15 12:56:57,   0小時21分鐘
11V,140.119.72.55,100304032,0040287678,03-Jan-15 12:35:21,03-Jan-15 13:32:19,   0小時57分鐘
05R,140.119.129.59,101305054,0076B9250D,03-Jan-15 12:35:25,03-Jan-15 12:56:51,   0小時21分鐘
10V,140.119.72.54,CC0483,0092F75760,03-Jan-15 12:38:13,03-Jan-15 12:40:44,   0小時02分鐘
S1R,140.119.129.113,F12191655400,00AA4B2007,03-Jan-15 12:38:18,03-Jan-15 13:37:39,   0小時59分鐘
09V,140.119.72.52,CC0483,0092F75760,03-Jan-15 12:40:51,03-Jan-15 12:42:30,   0小時01分鐘
20R,140.119.129.74,102103015,0030BC533E,03-Jan-15 12:41:11,03-Jan-15 13:54:04,   1小時12分鐘
13V,140.119.72.72,CC0483,0092F75760,03-Jan-15 12:42:38,03-Jan-15 13:32:43,   0小時49分鐘
11R,140.119.129.70,101508001,0000165735,03-Jan-15 12:45:52,03-Jan-15 13:57:51,   1小時12分鐘
07R,140.119.129.61,103353031,00A6F9220D,03-Jan-15 12:46:11,03-Jan-15 12:59:56,   0小時13分鐘
16R,140.119.129.65,100601080,0030E4C648,03-Jan-15 12:51:01,03-Jan-15 13:05:05,   0小時13分鐘
08W,140.119.49.31,101961039,00BB50C6B3,03-Jan-15 12:55:38,03-Jan-15 12:55:45,   0小時00分鐘
08W,140.119.49.31,101961039,00BB50C6B3,03-Jan-15 12:55:56,03-Jan-15 12:56:02,   0小時00分鐘
09W,140.119.49.32,101961033,004B49C6B3,03-Jan-15 12:56:31,03-Jan-15 12:56:37,   0小時00分鐘
08W,140.119.49.31,101961039,00BB50C6B3,03-Jan-15 12:59:04,03-Jan-15 14:41:10,   1小時42分鐘
10R,140.119.129.69,100203058,001B27C7B3,03-Jan-15 12:59:23,03-Jan-15 13:49:50,   0小時50分鐘
09W,140.119.49.32,101961033,004B49C6B3,03-Jan-15 13:00:45,03-Jan-15 13:46:57,   0小時46分鐘
11W,140.119.49.30,102921028,0080E19064,03-Jan-15 13:00:55,03-Jan-15 17:40:52,   4小時40分鐘
04W,140.119.49.39,103263005,00E629230D,03-Jan-15 13:02:38,03-Jan-15 15:57:21,   2小時54分鐘
38R,140.119.129.92,MK1982012200,007E7933C1,03-Jan-15 13:03:20,03-Jan-15 13:55:49,   0小時52分鐘
05R,140.119.129.59,103652006,00761E8C0C,03-Jan-15 13:06:37,03-Jan-15 13:12:13,   0小時05分鐘
03W,140.119.49.38,99101073,0026D0B20B,03-Jan-15 13:10:22,03-Jan-15 13:39:16,   0小時28分鐘
04R,140.119.129.58,103252005,0046FDE333,03-Jan-15 13:14:19,03-Jan-15 13:39:46,   0小時25分鐘
13R,140.119.129.55,100203016,00BBCEC6B3,03-Jan-15 13:23:05,03-Jan-15 13:28:17,   0小時05分鐘
21R,140.119.129.75,103209021,00961F8D0C,03-Jan-15 13:23:39,03-Jan-15 13:23:40,   0小時00分鐘
31R,140.119.129.85,102921045,00F0384F79,03-Jan-15 13:24:15,03-Jan-15 14:37:55,   1小時13分鐘
35R,140.119.129.89,103209021,00961F8D0C,03-Jan-15 13:24:24,03-Jan-15 16:36:22,   3小時12分鐘
01R,140.119.129.67,101303037,00304C693E,03-Jan-15 13:31:49,03-Jan-15 13:43:21,   0小時11分鐘
12W,140.119.49.155,102921044,0060464F79,03-Jan-15 13:33:54,03-Jan-15 14:09:34,   0小時35分鐘
04V,140.119.72.61,101933002,005B99C7B3,03-Jan-15 13:35:14,03-Jan-15 13:51:36,   0小時16分鐘
40R,140.119.129.94,100207222,002B3FC7B3,03-Jan-15 13:35:49,03-Jan-15 21:30:06,   7小時54分鐘
S1R,140.119.129.113,F12191655400,00AA4B2007,03-Jan-15 13:37:55,03-Jan-15 14:37:56,   1小時00分鐘
08R,140.119.129.62,101601098,00C62E660C,03-Jan-15 13:38:23,03-Jan-15 14:07:04,   0小時28分鐘
16R,140.119.129.65,L12318613800,001C037A66,03-Jan-15 13:43:50,03-Jan-15 14:31:19,   0小時47分鐘
61D,140.119.29.61,103702052,00C6D64611,03-Jan-15 13:45:50,03-Jan-15 14:53:30,   1小時07分鐘
02W,140.119.49.37,103158017,00965BB20B,03-Jan-15 13:47:13,03-Jan-15 14:19:41,   0小時32分鐘
04R,140.119.129.58,102203012,0020D0E177,03-Jan-15 13:47:55,03-Jan-15 13:54:58,   0小時07分鐘
02R,140.119.129.56,101303080,00B0C55435,03-Jan-15 13:50:14,03-Jan-15 15:41:48,   1小時51分鐘
13R,140.119.129.55,H12384091100,00CE3254C1,03-Jan-15 13:50:41,03-Jan-15 13:54:18,   0小時03分鐘
33R,140.119.129.87,103502014,000696B10B,03-Jan-15 13:54:54,03-Jan-15 14:04:34,   0小時09分鐘
05W,140.119.49.36,99206036,007B70CBB3,03-Jan-15 13:55:05,03-Jan-15 14:01:27,   0小時06分鐘
37R,140.119.129.91,103601161,00C6C8A233,03-Jan-15 13:58:57,03-Jan-15 19:24:56,   5小時25分鐘
38R,140.119.129.92,MK1982012200,007E7933C1,03-Jan-15 14:00:36,03-Jan-15 16:21:35,   2小時21分鐘
11D,140.119.29.11,102104007,0040F15435,03-Jan-15 14:00:45,03-Jan-15 18:08:43,   4小時07分鐘
01R,140.119.129.67,100102010,007B0BC8B3,03-Jan-15 14:01:12,03-Jan-15 15:59:08,   1小時58分鐘
06R,140.119.129.60,100601075,006B29F1B0,03-Jan-15 14:01:27,03-Jan-15 14:11:40,   0小時10分鐘
12R,140.119.129.71,100103023,00EB8CC6B3,03-Jan-15 14:01:33,03-Jan-15 14:18:40,   0小時17分鐘
10V,140.119.72.54,101303107,00FBF5978A,03-Jan-15 14:06:49,03-Jan-15 16:33:07,   2小時26分鐘
10R,140.119.129.69,101501002,00B657260D,03-Jan-15 14:12:25,03-Jan-15 14:56:18,   0小時43分鐘
33R,140.119.129.87,103303045,008607B30B,03-Jan-15 14:15:27,03-Jan-15 18:08:34,   3小時53分鐘
14R,140.119.129.63,D12247295100,004AD01F07,03-Jan-15 14:17:34,03-Jan-15 14:17:50,   0小時00分鐘
05R,140.119.129.59,D12247295100,004AD01F07,03-Jan-15 14:17:56,03-Jan-15 15:38:21,   1小時20分鐘
11R,140.119.129.70,103302018,00D698650C,03-Jan-15 14:18:38,03-Jan-15 16:18:40,   2小時00分鐘
32R,140.119.129.86,103301035,00F0859366,03-Jan-15 14:21:58,03-Jan-15 18:12:49,   3小時51分鐘
02V,140.119.72.60,102354014,001070EC77,03-Jan-15 14:24:55,03-Jan-15 16:24:35,   1小時59分鐘
08R,140.119.129.62,101601141,00E00D7678,03-Jan-15 14:27:26,03-Jan-15 16:26:36,   1小時59分鐘
36R,140.119.129.90,103652010,0036E88B0C,03-Jan-15 14:28:26,03-Jan-15 18:53:10,   4小時24分鐘
18R,140.119.129.72,100101072,00F0495835,03-Jan-15 14:28:33,03-Jan-15 14:31:55,   0小時03分鐘
17R,140.119.129.66,102202004,00D0896B3E,03-Jan-15 14:28:38,03-Jan-15 14:42:22,   0小時13分鐘
06R,140.119.129.60,103601214,00BB988437,03-Jan-15 14:29:49,03-Jan-15 14:43:57,   0小時14分鐘
18R,140.119.129.72,100101072,00F0495835,03-Jan-15 14:32:00,03-Jan-15 14:32:49,   0小時00分鐘
18R,140.119.129.72,100101072,00F0495835,03-Jan-15 14:32:52,03-Jan-15 14:42:15,   0小時09分鐘
14R,140.119.129.63,CC0381,00829F5260,03-Jan-15 14:32:59,03-Jan-15 14:33:01,   0小時00分鐘
15R,140.119.129.64,CC0381,00829F5260,03-Jan-15 14:33:10,03-Jan-15 16:04:32,   1小時31分鐘
03R,140.119.129.57,99506004,001CA362BE,03-Jan-15 14:41:54,03-Jan-15 14:51:22,   0小時09分鐘
13R,140.119.129.55,101209011,0050D2B148,03-Jan-15 14:42:12,03-Jan-15 14:45:30,   0小時03分鐘
06R,140.119.129.60,103601214,00BB988437,03-Jan-15 14:44:43,03-Jan-15 15:11:17,   0小時26分鐘
31R,140.119.129.85,103502014,000696B10B,03-Jan-15 14:47:48,03-Jan-15 15:37:20,   0小時49分鐘
07W,140.119.49.34,101923022,004BEDC7B3,03-Jan-15 14:48:11,03-Jan-15 15:00:25,   0小時12分鐘
07R,140.119.129.61,101207242,0093C746E3,03-Jan-15 14:52:45,03-Jan-15 15:01:20,   0小時08分鐘
S1R,140.119.129.113,F12191655400,00AA4B2007,03-Jan-15 14:54:58,03-Jan-15 15:54:49,   1小時00分鐘
05W,140.119.49.36,103206041,0066C3AC0C,03-Jan-15 14:55:40,03-Jan-15 16:10:16,   1小時14分鐘
11V,140.119.72.55,101302002,00E05DB248,03-Jan-15 14:58:30,03-Jan-15 15:50:30,   0小時52分鐘
20R,140.119.129.74,100701055,00C01E8878,03-Jan-15 14:59:05,03-Jan-15 15:47:02,   0小時48分鐘
03W,140.119.49.38,101703050,0006AF8D0C,03-Jan-15 15:00:07,03-Jan-15 15:29:55,   0小時30分鐘
14V,140.119.72.49,101206007,0050C65835,03-Jan-15 15:00:14,03-Jan-15 15:23:31,   0小時23分鐘
17R,140.119.129.66,101509303,0040F84535,03-Jan-15 15:09:19,03-Jan-15 16:36:09,   1小時27分鐘
06R,140.119.129.60,103601214,00BB988437,03-Jan-15 15:11:38,03-Jan-15 15:33:43,   0小時22分鐘
08V,140.119.72.56,102307026,0070AF5735,03-Jan-15 15:13:30,03-Jan-15 16:33:20,   1小時19分鐘
07V,140.119.72.53,102307031,00E0187831,03-Jan-15 15:18:17,03-Jan-15 16:31:43,   1小時13分鐘
13R,140.119.129.55,103464083,00EB418E37,03-Jan-15 15:28:05,03-Jan-15 15:28:11,   0小時00分鐘
13R,140.119.129.55,103464083,00EB418E37,03-Jan-15 15:28:19,03-Jan-15 16:03:26,   0小時35分鐘
